City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,East London,ZA,52.74,clear sky,-33.0153,27.9116,Tu Casa
8,Jumla,NP,69.17,broken clouds,29.2747,82.1838,Royal Garden Hotel
9,Vila Velha,BR,69.75,overcast clouds,-20.3297,-40.2925,Hotel Vitória Palace
11,Hermanus,ZA,52.79,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
12,Hobart,AU,53.46,light rain,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
13,Severo-Kurilsk,RU,56.1,scattered clouds,50.6789,156.125,Kak Doma
20,Norman Wells,CA,64.44,few clouds,65.282,-126.8329,Heritage Hotel
26,Lerwick,GB,53.6,broken clouds,60.1545,-1.1494,The Lerwick Hotel
29,New Norfolk,AU,53.1,light rain,-42.7826,147.0587,The Shingles Riverside Cottages
30,Albany,US,65.17,clear sky,42.6001,-73.9662,NaN
31,Barra Do Garcas,BR,66.54,clear sky,-15.89,-52.2567,Pousada Tropical
33,Cidreira,BR,53.76,clear sky,-30.1811,-50.2056,Hotel Castelo
34,Arraial Do Cabo,BR,66.34,clear sky,-22.9661,-42.0278,Pousada Porto Praia
35,Flinders,AU,62.38,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
46,Rurrenabaque,BO,64.54,clear sky,-14.4413,-67.5278,Casa de Campo
55,Sandnessjoen,NO,55.92,overcast clouds,66.0217,12.6316,Syv Søstre Apartments
57,Castilho,BR,61.93,clear sky,-20.8722,-51.4875,D S Oliveira Hotel
60,Otradnoye,RU,63.03,few clouds,59.7775,30.8181,Baza otdikha Petrushinsky Khutor
61,Busselton,AU,57.16,broken clouds,-33.65,115.3333,Observatory Guest House
67,Margate,GB,65.88,broken clouds,51.3813,1.3862,Premier Inn Margate hotel
70,Jamestown,US,63.99,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
73,Torbay,CA,65.57,overcast clouds,47.6666,-52.7314,Gallows Cove
77,Clarence Town,AU,66.85,overcast clouds,-32.5833,151.7833,River Downs Cottage
78,Port Alfred,ZA,54.12,light rain,-33.5906,26.891,The Halyards Hotel
82,Rawtenstall,GB,63.79,overcast clouds,53.7008,-2.2844,The Old Nursery B&B
85,Okhotsk,RU,58.96,overcast clouds,59.3833,143.3,NaN
87,Imbituba,BR,51.1,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
92,Shakawe,BW,52.54,clear sky,-18.3667,21.85,Ditlhapi Guest House
97,Pangnirtung,CA,51.51,moderate rain,66.1451,-65.7125,Kilabuk Lodge
98,Nikolskoye,RU,62.87,clear sky,59.7035,30.7861,Tourist House - Sablino
100,Tiksi,RU,53.89,overcast clouds,71.6872,128.8694,Arktika
103,Cyangugu,RW,60.62,clear sky,-2.4846,28.9075,Umucyo Lodge
105,Raudeberg,NO,51.96,overcast clouds,61.9875,5.1352,Nordre Silda.
106,La Rioja,ES,56.98,clear sky,42.25,-2.5,Casa Concejos
111,Vardo,NO,51.78,overcast clouds,70.3705,31.1107,Vardø Hotel AS
112,Khatanga,RU,53.67,overcast clouds,71.9667,102.5,"""Khatanga"""
122,Pevek,RU,50.5,few clouds,69.7008,170.3133,Severnoye Zoloto
