City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Emba,KZ,48.8264,58.1442,75.79,47,34,6.69,scattered clouds
1,Tara,RU,56.8944,74.371,75.6,59,90,7.7,overcast clouds
2,Rikitea,PF,-23.1203,-134.9692,72.9,74,12,16.42,light rain
3,Cabo San Lucas,MX,22.8909,-109.9124,86.61,61,41,3.0,scattered clouds
4,Upernavik,GL,72.7868,-56.1549,45.72,77,100,5.06,light rain
5,Vaini,TO,-21.2,-175.2,77.16,100,40,9.22,scattered clouds
6,Ushuaia,AR,-54.8,-68.3,40.66,81,20,23.02,few clouds
7,East London,ZA,-33.0153,27.9116,52.74,62,0,12.66,clear sky
8,Jumla,NP,29.2747,82.1838,69.17,82,84,5.23,broken clouds
9,Vila Velha,BR,-20.3297,-40.2925,69.75,68,100,9.22,overcast clouds
10,Lebu,CL,-37.6167,-73.65,46.58,88,67,3.65,broken clouds
11,Hermanus,ZA,-34.4187,19.2345,52.79,62,70,2.1,broken clouds
12,Hobart,AU,-42.8794,147.3294,53.46,72,75,10.36,light rain
13,Severo-Kurilsk,RU,50.6789,156.125,56.1,85,27,10.02,scattered clouds
14,Kralendijk,BQ,12.15,-68.2667,80.83,87,3,23.58,clear sky
15,Hilo,US,19.7297,-155.09,79.29,94,60,6.11,broken clouds
16,Lang Son,VN,21.8333,106.7333,88.88,62,92,4.5,overcast clouds
17,Guerrero Negro,MX,27.9769,-114.0611,70.54,77,5,10.8,clear sky
18,Yerbogachen,RU,61.2767,108.0108,78.26,49,52,2.37,broken clouds
19,Fairbanks,US,64.8378,-147.7164,71.6,58,75,14.97,broken clouds
20,Norman Wells,CA,65.282,-126.8329,64.44,52,20,8.05,few clouds
21,Robertsport,LR,6.7533,-11.3686,76.14,72,45,7.2,scattered clouds
22,Touros,BR,-5.1989,-35.4608,75.94,85,99,11.16,overcast clouds
23,Qaanaaq,GL,77.484,-69.3632,39.88,70,17,4.97,few clouds
24,Punta Arenas,CL,-53.15,-70.9167,42.91,61,0,10.36,clear sky
25,Iki-Burul,RU,45.8208,44.6472,86.13,36,6,6.29,clear sky
26,Lerwick,GB,60.1545,-1.1494,53.6,85,73,12.19,broken clouds
27,Isangel,VU,-19.55,169.2667,74.57,82,100,7.05,heavy intensity rain
28,Kapaa,US,22.0752,-159.319,79.12,85,11,1.99,few clouds
29,New Norfolk,AU,-42.7826,147.0587,53.1,76,100,1.99,light rain
30,Albany,US,42.6001,-73.9662,65.17,87,0,4.16,clear sky
31,Barra Do Garcas,BR,-15.89,-52.2567,66.54,48,1,1.34,clear sky
32,Shymkent,KZ,42.3,69.6,81.19,26,0,4.47,clear sky
33,Cidreira,BR,-30.1811,-50.2056,53.76,83,1,7.25,clear sky
34,Arraial Do Cabo,BR,-22.9661,-42.0278,66.34,68,3,12.71,clear sky
35,Flinders,AU,-34.5833,150.8552,62.38,55,100,7.0,overcast clouds
36,Matamoros,MX,25.5333,-103.25,83.3,29,80,8.3,broken clouds
37,General Roca,AR,-39.0333,-67.5833,43.63,60,100,3.36,overcast clouds
38,Saint-Philippe,RE,-21.3585,55.7679,72.99,72,39,14.29,scattered clouds
39,Boende,CD,-0.2167,20.8667,71.13,86,88,1.99,overcast clouds
40,Mahebourg,MU,-20.4081,57.7,72.25,68,40,14.97,scattered clouds
41,Zhigansk,RU,66.7697,123.3711,76.3,51,66,16.87,broken clouds
42,Aleksandrovsk,RU,59.158,57.5624,73.13,56,98,1.1,overcast clouds
43,Hithadhoo,MV,-0.6,73.0833,80.1,76,100,16.96,light rain
44,Kloulklubed,PW,7.0419,134.2556,83.55,76,83,10.49,broken clouds
45,Henties Bay,NA,-22.116,14.2845,54.54,80,65,6.82,broken clouds
46,Rurrenabaque,BO,-14.4413,-67.5278,64.54,72,3,1.99,clear sky
47,Lorengau,PG,-2.0226,147.2712,85.28,64,80,11.21,broken clouds
48,Sterling,US,39.0062,-77.4286,75.27,86,0,4.61,clear sky
49,Zarubino,RU,42.63,131.0922,75.47,85,99,8.21,overcast clouds
50,Concepcion,CL,-36.827,-73.0498,46.2,87,20,4.61,few clouds
51,Butwal,NP,27.7006,83.4484,87.4,71,99,3.6,moderate rain
52,Ariquemes,BR,-9.9133,-63.0408,71.17,50,3,1.25,clear sky
53,Mataura,NZ,-46.1927,168.8643,48.47,93,99,6.33,overcast clouds
54,Castro,BR,-24.7911,-50.0119,44.08,85,7,3.24,clear sky
55,Sandnessjoen,NO,66.0217,12.6316,55.92,76,100,12.35,overcast clouds
56,Dzhebariki-Khaya,RU,62.2167,135.8,81.97,43,100,6.06,overcast clouds
57,Castilho,BR,-20.8722,-51.4875,61.93,33,0,5.59,clear sky
58,Ojinaga,MX,29.5667,-104.4167,92.41,35,75,11.5,broken clouds
59,Alofi,NU,-19.0595,-169.9187,78.69,83,8,9.22,clear sky
60,Otradnoye,RU,59.7775,30.8181,63.03,74,11,5.75,few clouds
61,Busselton,AU,-33.65,115.3333,57.16,69,71,11.86,broken clouds
62,Ribeira Grande,PT,38.5167,-28.7,73.33,73,23,3.18,few clouds
63,Billings,US,45.7833,-108.5007,82.17,35,20,6.91,smoke
64,Dakar,SN,14.6937,-17.4441,79.68,79,99,13.11,overcast clouds
65,Eirunepe,BR,-6.6603,-69.8736,77.31,70,87,1.16,overcast clouds
66,Monrovia,LR,6.3005,-10.7969,73.17,73,44,5.82,scattered clouds
67,Margate,GB,51.3813,1.3862,65.88,87,77,1.99,broken clouds
68,Saint-Pierre,RE,-21.3393,55.4781,73.29,59,0,3.44,clear sky
69,Yumen,CN,40.2833,97.2,91.17,15,71,14.27,broken clouds
70,Jamestown,US,42.097,-79.2353,63.99,74,0,1.01,clear sky
71,Tasiilaq,GL,65.6145,-37.6368,35.11,59,20,6.6,few clouds
72,Ende,ID,-8.8432,121.6623,83.98,67,46,5.99,scattered clouds
73,Torbay,CA,47.6666,-52.7314,65.57,88,100,16.11,overcast clouds
74,Kruisfontein,ZA,-34.0033,24.7314,49.62,79,90,14.79,light rain
75,Thompson,CA,55.7435,-97.8558,48.36,81,20,0.0,few clouds
76,Olafsvik,IS,64.8945,-23.7142,48.42,77,5,7.31,clear sky
77,Clarence Town,AU,-32.5833,151.7833,66.85,58,100,0.69,overcast clouds
78,Port Alfred,ZA,-33.5906,26.891,54.12,71,12,20.47,light rain
79,Kaitangata,NZ,-46.2817,169.8464,43.43,86,96,11.56,overcast clouds
80,Sai Buri,TH,6.7013,101.6168,87.51,63,100,1.39,overcast clouds
81,Mae Sai,TH,20.4335,99.8762,80.92,78,98,2.8,overcast clouds
82,Rawtenstall,GB,53.7008,-2.2844,63.79,98,100,5.35,overcast clouds
83,Homestead,US,25.4687,-80.4776,84.02,83,48,4.0,scattered clouds
84,Catemaco,MX,18.4167,-95.1167,71.24,92,20,2.24,few clouds
85,Okhotsk,RU,59.3833,143.3,58.96,86,100,12.26,overcast clouds
86,Corinto,GR,37.9407,22.9573,81.9,48,0,4.14,clear sky
87,Imbituba,BR,-28.24,-48.6703,51.1,96,1,3.38,clear sky
88,Port Hedland,AU,-20.3167,118.5667,78.85,38,12,14.97,few clouds
89,Encruzilhada Do Sul,BR,-30.5439,-52.5219,42.93,93,52,1.77,broken clouds
90,Kassala,SD,15.451,36.4,76.57,74,39,17.07,scattered clouds
91,Puerto Ayora,EC,-0.7393,-90.3518,70.56,93,56,8.01,broken clouds
92,Shakawe,BW,-18.3667,21.85,52.54,32,0,4.54,clear sky
93,Mayo,US,38.8876,-76.5119,77.09,81,78,1.99,broken clouds
94,Salalah,OM,17.0151,54.0924,76.26,90,96,10.07,overcast clouds
95,Sibolga,ID,1.7427,98.7792,86.04,61,36,4.85,scattered clouds
96,Leningradskiy,RU,69.3833,178.4167,49.28,67,62,12.48,broken clouds
97,Pangnirtung,CA,66.1451,-65.7125,51.51,93,100,2.93,moderate rain
98,Nikolskoye,RU,59.7035,30.7861,62.87,72,10,5.75,clear sky
99,Port Keats,AU,-14.25,129.55,89.1,28,59,6.49,broken clouds
100,Tiksi,RU,71.6872,128.8694,53.89,69,100,5.59,overcast clouds
101,Gigmoto,PH,13.7796,124.39,85.6,69,100,9.13,overcast clouds
102,Grindavik,IS,63.8424,-22.4338,49.95,87,75,6.91,broken clouds
103,Cyangugu,RW,-2.4846,28.9075,60.62,86,10,0.76,clear sky
104,Atuona,PF,-9.8,-139.0333,76.69,78,15,13.49,few clouds
105,Raudeberg,NO,61.9875,5.1352,51.96,92,100,11.65,overcast clouds
106,La Rioja,ES,42.25,-2.5,56.98,95,2,2.62,clear sky
107,Placido De Castro,BR,-10.3353,-67.1856,70.3,57,0,0.98,clear sky
108,Bandarbeyla,SO,9.4942,50.8122,80.89,61,64,27.81,broken clouds
109,Salvaterra De Magos,PT,39.0279,-8.7935,76.44,58,0,2.75,clear sky
110,Dikson,RU,73.5069,80.5464,41.11,92,82,11.25,broken clouds
111,Vardo,NO,70.3705,31.1107,51.78,100,100,9.22,overcast clouds
112,Khatanga,RU,71.9667,102.5,53.67,65,99,12.5,overcast clouds
113,Conde,BR,-7.2597,-34.9075,72.86,100,75,3.44,broken clouds
114,Niquero,CU,20.0431,-77.5828,77.83,85,20,10.0,few clouds
115,Bathsheba,BB,13.2167,-59.5167,83.01,94,40,21.85,scattered clouds
116,Carnarvon,AU,-24.8667,113.6333,72.37,35,38,7.96,scattered clouds
117,Saldanha,ZA,-33.0117,17.9442,41.05,77,7,10.47,clear sky
118,Bonthe,SL,7.5264,-12.505,74.89,77,79,4.34,broken clouds
119,Luwuk,ID,-0.9516,122.7875,83.26,80,81,4.72,broken clouds
120,Norfolk,US,42.1668,-71.2495,71.71,76,0,3.76,clear sky
121,Barrow,US,71.2906,-156.7887,35.62,87,100,10.36,overcast clouds
122,Pevek,RU,69.7008,170.3133,50.5,57,14,7.45,few clouds
123,Omsukchan,RU,62.5333,155.8,54.64,59,91,11.07,overcast clouds
124,Kavieng,PG,-2.5744,150.7967,84.81,64,78,10.18,broken clouds
125,Alta Floresta,BR,-9.8756,-56.0861,67.55,46,1,1.97,clear sky
126,Antigonish,CA,45.6169,-61.9986,67.82,94,1,10.4,clear sky
127,Naze,JP,28.3667,129.4833,85.12,88,89,29.37,overcast clouds
128,Gonzalez,US,30.5816,-87.2914,81.48,98,3,3.67,clear sky
129,Samarai,PG,-10.6167,150.6667,80.89,79,9,11.18,clear sky
130,Saint George,US,37.1041,-113.5841,86.79,44,64,2.37,broken clouds
131,Saquarema,BR,-22.92,-42.5103,64.47,70,66,7.74,broken clouds
132,Codrington,AU,-38.2667,141.9667,52.57,80,100,21.97,overcast clouds
133,Taoudenni,ML,22.6783,-3.9836,90.91,37,70,11.97,broken clouds
134,Callaway,US,30.153,-85.5699,80.01,91,0,3.67,clear sky
135,Provideniya,RU,64.3833,-173.3,50.88,75,99,6.11,overcast clouds
136,Daloa,CI,6.8774,-6.4502,70.07,88,99,4.43,overcast clouds
137,Ambilobe,MG,-13.2,49.05,74.19,59,0,5.17,clear sky
138,Esperance,AU,-33.8667,121.9,58.53,56,35,16.64,scattered clouds
139,Isla Mujeres,MX,21.2311,-86.731,75.16,83,96,7.54,overcast clouds
140,Morondava,MG,-20.2833,44.2833,71.29,76,54,4.0,broken clouds
141,Maragogi,BR,-9.0122,-35.2225,74.75,86,100,7.2,overcast clouds
142,Souillac,MU,-20.5167,57.5167,71.98,68,40,14.97,scattered clouds
143,Cabra,ES,37.4725,-4.4421,72.97,68,0,3.15,clear sky
144,Liverpool,GB,53.4106,-2.9779,65.28,94,100,6.91,overcast clouds
145,Male,MV,4.1748,73.5089,82.35,78,100,25.32,light rain
146,Geraldton,AU,-28.7667,114.6,64.81,55,0,12.66,clear sky
